2017-01-16	MARTIN LUTHER KING JR DAY
2017-02-20	PRESIDENTS DAY
2017-04-14	GOOD FRIDAY
2017-05-29	MEMORIAL DAY
2017-09-04	LABOR DAY
2017-11-23	THANKSGIVING DAY
2017-12-25	CHRISTMAS
2018-01-01	NEW YEARS DAY
2018-01-15	MARTIN LUTHER KING JR DAY
2018-02-19	WASHINGTON'S BIRTHDAY
2018-03-30	GOOD FRIDAY
2018-05-28	MEMORIAL DAY
2018-07-04	INDEPENDENCE DAY
2018-09-03	LABOR DAY
2018-11-22	THANKSGIVING DAY
2018-12-25	CHRISTMAS
2019-01-01	NEW YEARS DAY
2019-01-21	MARTIN LUTHER KING JR DAY
2019-02-18	WASHINGTON'S BIRTHDAY
2019-04-19	GOOD FRIDAY
2019-05-27	MEMORIAL DAY
2019-07-04	INDEPENDENCE DAY
2019-09-02	LABOR DAY
2019-11-28	THANKSGIVING DAY
2019-12-25	CHRISTMAS
2020-01-01	NEW YEARS DAY
2020-01-20	MARTIN LUTHER KING JR DAY
2020-02-17	WASHINGTON'S BIRTHDAY
2020-04-10	GOOD FRIDAY
2020-05-25	MEMORIAL DAY
2020-07-03	INDEPENDENCE DAY
2020-09-07	LABOR DAY
2020-11-26	THANKSGIVING DAY
2020-12-25	CHRISTMAS
